,MatchID,GoalID,ScoreTeam1,ScoreTeam2,GoalGetterID,IsOwnGoal
0,10093,3964,1,0,1600,False
1,10093,3966,1,1,228,False
2,10093,3970,1,2,7,False
3,10093,3975,2,2,357,False
4,10093,3976,3,2,1601,False
5,10093,3980,3,3,1603,False
6,14015,5568,0,1,1601,False
7,14168,8456,1,0,357,False
8,14168,8457,2,0,1439,False
9,14168,8458,3,0,1600,False
10,14168,8474,3,1,7,False
11,19847,16881,0,1,1519,False
12,19847,16882,1,1,6854,False
13,20243,20284,1,0,1772,False
14,20243,20285,2,0,1623,False
15,20243,20288,2,1,10918,False
16,20243,20289,3,1,1960,False
17,20243,20293,3,2,513,False
18,20243,20302,3,3,513,False
19,20243,20305,3,4,181,False
20,23711,21118,2,0,11532,False
21,23711,21119,1,0,11385,False
22,23711,21132,2,1,924,True
23,23711,21133,3,1,11533,False
24,23986,25099,0,1,1442,False
25,23986,25105,0,2,11384,False
26,31692,37241,0,1,60,False
27,31692,37242,0,2,60,False
28,28219,37198,0,1,60,False
29,28219,37236,0,2,60,False
30,33425,45021,1,0,11837,False
31,33425,45022,2,0,637,False
32,33425,45023,3,0,363,False
33,33425,45025,3,1,513,False
34,36518,45164,1,0,8310,False
35,36518,45165,2,0,15386,False
36,36518,45166,3,0,15440,False
37,36518,45167,3,1,11848,False
38,33756,50935,1,0,514,False
39,33756,50986,1,1,7523,False
40,35186,50946,1,0,11384,False
41,35186,50994,1,1,15500,False
42,39711,54853,1,0,7089,False
43,39711,54854,2,0,1828,False
44,42207,54969,2,0,0,False
45,43232,58189,0,1,0,False
46,39864,58188,0,1,1356,False
47,45549,62853,1,0,12111,False
48,45549,62854,2,0,3879,False
49,45549,62857,2,1,7089,False
50,47426,62858,2,1,0,False
51,49886,66031,5,1,0,False
52,45698,66017,0,1,11540,False
53,45698,66019,1,1,137,False
54,45698,66027,2,1,137,False
55,45698,66028,3,1,13574,False
56,45698,66029,4,1,382,False
57,45698,66030,5,1,1478,False
58,51174,72151,0,1,16907,False
59,51174,72153,0,2,16269,False
60,51174,72154,0,3,1439,False
61,55028,77822,0,3,0,False
62,55028,77823,0,2,0,False
63,55184,78141,1,5,0,False
64,55184,78142,1,2,0,False
65,51335,76312,0,1,9943,False
66,51335,76313,0,2,15523,False
67,51335,76314,1,2,15386,False
68,51335,76315,1,3,15316,False
69,51335,76316,1,4,16086,False
70,51335,76317,1,5,15316,False
71,54791,77350,1,0,1478,False
72,54791,77351,1,1,1207,False
73,54791,77352,1,2,181,False
74,54791,77353,1,3,518,False
75,55397,82018,0,1,15860,False
76,55397,82022,1,1,17585,False
77,55397,82030,2,1,17585,False
78,55547,83973,1,0,17894,False
79,55547,83974,1,1,16143,True
80,55547,83975,2,1,11373,False
81,58709,87011,0,1,14563,False
82,58709,87012,0,2,11373,False
83,58709,87013,1,2,14569,False
84,58709,87014,2,2,14569,False
85,58709,87015,3,2,18442,False
86,58859,88731,1,0,15316,False
87,58859,88732,2,0,15523,False
88,58859,88733,3,0,15316,False
89,58859,88734,4,0,18581,False
90,58859,88735,5,0,18332,False
91,58859,88736,6,0,18433,False
