TeamId,TeamName,ShortName,TeamIconUrl,TeamGroupName
199,1. FC Heidenheim 1846,Heidenheim,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/1._FC_Heidenheim_1846.svg/830px-1._FC_Heidenheim_1846.svg.png,
79,1. FC Nürnberg,Nürnberg,https://upload.wikimedia.org/wikipedia/commons/f/fa/1._FC_Nürnberg_logo.svg,
74,Eintracht Braunschweig,Braunschweig,https://www.openligadb.de/images/teamicons/Eintracht_Braunschweig.gif,
66,Erzgebirge Aue,Aue,https://upload.wikimedia.org/wikipedia/de/thumb/1/13/Fc_erzgebirge_aue.svg/1035px-Fc_erzgebirge_aue.svg.png,
98,FC St. Pauli,St. Pauli,https://upload.wikimedia.org/wikipedia/commons/a/a3/FC_St._Pauli_logo.png,
185,Fortuna Düsseldorf,Düsseldorf,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Fortuna_D%C3%BCsseldorf.svg/150px-Fortuna_D%C3%BCsseldorf.svg.png,
100,Hamburger SV,HSV,https://upload.wikimedia.org/wikipedia/commons/f/f7/Hamburger_SV_logo.svg,
55,Hannover 96,Hannover,https://upload.wikimedia.org/wikipedia/commons/c/cd/Hannover_96_Logo.svg,
104,Holstein Kiel,Kiel,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Holstein_Kiel_Logo.svg/300px-Holstein_Kiel_Logo.svg.png,
181,Jahn Regensburg,Jahn,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Jahn_Regensburg_logo2014.svg/204px-Jahn_Regensburg_logo2014.svg.png,
105,Karlsruher SC,Karlsruhe,https://www.openligadb.de/images/teamicons/Karlsruher_SC.gif,
31,SC Paderborn 07,Paderborn,https://upload.wikimedia.org/wikipedia/commons/e/e3/SC_Paderborn_07_Logo.svg,
115,SpVgg Greuther Fürth,Fürth,https://upload.wikimedia.org/wikipedia/de/b/b1/SpVgg_Greuther_Fürth_2017.svg,
118,SV Darmstadt 98,Darmstadt,https://www.openligadb.de/images/teamicons/SV_Darmstadt_98.gif,
119,SV Sandhausen,Sandhausen,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/SV_Sandhausen.svg/20px-SV_Sandhausen.svg.png,
129,VfL Bochum,Bochum,https://www.openligadb.de/images/teamicons/VfL_Bochum.gif,
36,VfL Osnabrück,Osnabrück,https://upload.wikimedia.org/wikipedia/commons/2/24/Logo_Vfl_Osnabrueck_2017.png,
4437,Würzburger Kickers,Würzburg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/W%C3%BCrzburger_Kickers_Logo.svg/199px-W%C3%BCrzburger_Kickers_Logo.svg.png,
